APP,Tool,Avg Line Cov(%),Avg Branch Cov(%),Avg Method Cov(%),Avg Class Cov(%),服务器,运行终端/容器,备注
AnkiDroid,GPTDroid,11.28,5.98,11.26,16.59,st,,
,Aurora,20.2,14.96666667,7.796666667,15.64333333,,,
Total,Monkey*-LLM,43.08,30.12,46.83,55.16,,,
,Fastbot,34.04,23.5,36.65,45.8,,,
,Monkey*-Random,36.52,24.82,39.75,49,,,
,Monkey,29.89,19.84,32.81,41.89,,,
,HybirdDroid,40.28,27.96,43.67,52.41,,,
,DroidbotRandom,32.07,21.12,34.86,43.64,,,
,GPTDroid,16.91,10.62,19.42,27.35,,,
,Aurora,24.12,15.84,25.58,35.24,,,
,LLMDroid,33.85,21.59,35.74,46.3,,,
